Metadata creation date: 31st Oct 2017,,
Metadata original file:  raw_house_completions.csv,,
Metadata original data source: https://data.gov.ie/,,
county,year,number
Carlow,2000,369
Cavan,2000,270
Clare,2000,891
Cork,2000,4424
Donegal,2000,850
Dublin,2000,8122
Galway,2000,1831
Kerry,2000,739
Kildare,2000,2064
Kilkenny,2000,607
Laois,2000,809
Leitrim,2000,259
Limerick,2000,1381
Longford,2000,103
Louth,2000,1298
Mayo,2000,903
Meath,2000,2595
Monaghan,2000,205
Offaly,2000,638
Roscommon,2000,254
Sligo,2000,369
Tipperary,2000,1024
Waterford,2000,1121
Westmeath,2000,976
Wexford,2000,1697
Wicklow,2000,814
Carlow,2001,305
Cavan,2001,201
Clare,2001,648
Cork,2001,2957
Donegal,2001,710
Dublin,2001,8724
Galway,2001,1780
Kerry,2001,639
Kildare,2001,1933
Kilkenny,2001,648
Laois,2001,346
Leitrim,2001,313
Limerick,2001,862
Longford,2001,131
Louth,2001,855
Mayo,2001,407
Meath,2001,1993
Monaghan,2001,147
Offaly,2001,399
Roscommon,2001,289
Sligo,2001,335
Tipperary,2001,538
Waterford,2001,881
Westmeath,2001,777
Wexford,2001,1049
Wicklow,2001,978
Carlow,2002,429
Cavan,2002,370
Clare,2002,864
Cork,2002,6004
Donegal,2002,804
Dublin,2002,18243
Galway,2002,2941
Kerry,2002,1561
Kildare,2002,2192
Kilkenny,2002,1064
Laois,2002,821
Leitrim,2002,213
Limerick,2002,1824
Longford,2002,238
Louth,2002,1340
Mayo,2002,837
Meath,2002,2904
Monaghan,2002,190
Offaly,2002,640
Roscommon,2002,347
Sligo,2002,556
Tipperary,2002,1098
Waterford,2002,1550
Westmeath,2002,1031
Wexford,2002,1611
Wicklow,2002,1345
Carlow,2003,719
Cavan,2003,572
Clare,2003,1157
Cork,2003,5827
Donegal,2003,1078
Dublin,2003,16708
Galway,2003,2811
Kerry,2003,1272
Kildare,2003,3264
Kilkenny,2003,946
Laois,2003,1152
Leitrim,2003,516
Limerick,2003,3197
Longford,2003,419
Louth,2003,1763
Mayo,2003,955
Meath,2003,3615
Monaghan,2003,158
Offaly,2003,1220
Roscommon,2003,445
Sligo,2003,765
Tipperary,2003,1411
Waterford,2003,1575
Westmeath,2003,1609
Wexford,2003,1584
Wicklow,2003,2121
Carlow,2004,847
Cavan,2004,1106
Clare,2004,1478
Cork,2004,6425
Donegal,2004,913
Dublin,2004,18714
Galway,2004,2528
Kerry,2004,1762
Kildare,2004,2958
Kilkenny,2004,1174
Laois,2004,1568
Leitrim,2004,653
Limerick,2004,2316
Longford,2004,708
Louth,2004,1453
Mayo,2004,1132
Meath,2004,3347
Monaghan,2004,174
Offaly,2004,1060
Roscommon,2004,962
Sligo,2004,956
Tipperary,2004,1885
Waterford,2004,1771
Westmeath,2004,1260
Wexford,2004,2152
Wicklow,2004,1480
Carlow,2005,938
Cavan,2005,1133
Clare,2005,1537
Cork,2005,7745
Donegal,2005,990
Dublin,2005,15656
Galway,2005,2556
Kerry,2005,2012
Kildare,2005,4000
Kilkenny,2005,1570
Laois,2005,1946
Leitrim,2005,816
Limerick,2005,2185
Longford,2005,609
Louth,2005,1523
Mayo,2005,1439
